"","Br10_3_1","Br10_3_2","Br10_3_3","Br15_3_1","Br15_3_2","Br15_3_3","Br3_3_1","Br3_3_2","Br3_3_3","Br7_3_1","Br7_3_2","Br7_3_3","MG_3_1","MG_3_2","MG_3_3","QC1","QC2","QC3"
"GB-1a","461215","N/F","225709","N/F","N/F","N/F","1351246","997429","747693","210300","253640","1189463","N/F","N/F","N/F","142411","232491","101514"
"GB-1b","461215","N/F","225709","N/F","N/F","N/F","1351246","997429","747693","210300","253640","1189463","N/F","N/F","N/F","142411","232491","101514"
"Isochamaejasmin","461215","N/F","225709","N/F","N/F","N/F","1351246","997429","747693","210300","253640","1189463","N/F","N/F","N/F","142411","232491","101514"
"Larixinol","461215","N/F","225709","N/F","N/F","N/F","1351246","997429","747693","210300","253640","1189463","N/F","N/F","N/F","142411","232491","101514"
"Neochamaejasmin B","461215","N/F","225709","N/F","N/F","N/F","1351246","997429","747693","210300","253640","1189463","N/F","N/F","N/F","142411","232491","101514"
"Tetrahydroamentoflavone","461215","N/F","225709","N/F","N/F","N/F","1351246","997429","747693","210300","253640","1189463","N/F","N/F","N/F","142411","232491","101514"
"Resveratrol-4'-O-(6""""-galloyl)-b-d-glucopyranoside","N/F","172682","1905098","412330","790286","2782081","N/F","5710451","6623677","N/F","N/F","278395","1394504","3264317","3207434","963720","785030","1144838"
"Cornuside","1896910","3670902","1975610","3352522","4214228","6025296","324900","353145","195669","982390","932113","593213","N/F","N/F","28893","116098","100387","78314"
"Oxypaeoniflorin_HCOO","1896910","3670902","1975610","3352522","4214228","6025296","324900","353145","195669","982390","932113","593213","N/F","N/F","28893","116098","100387","78314"
"Homaloside D","617357","934577","645891","964073","1001085","1246630","30628","20962","23500","407162","326214","175853","29393","N/F","12648","102148","161629","197819"
"Sibiricose A6","1784976","1164425","1416865","2117404","1329436","2756321","105991","107272","34050","706271","797864","981577","N/F","40138","33250","155396","117745","89940"
"Icariside I hydrate","373570","35914","34550","2918821","757855","159134","32558","N/F","54120","183174","54733","N/F","N/F","N/F","30910","38212","N/F","N/F"
"Liguiritigenin-7-O-beta-D-apiosyl-4'-O-beta-D-glucoside","339361","932490","450184","763148","1266906","1202058","18628","N/F","N/F","185314","403257","221930","N/F","N/F","N/F","134138","115120","121395"
"Liquiritin apioside","339361","932490","450184","763148","1266906","1202058","18628","N/F","N/F","185314","403257","221930","N/F","N/F","N/F","134138","115120","121395"
"licuraside","339361","932490","450184","763148","1266906","1202058","18628","N/F","N/F","185314","403257","221930","N/F","N/F","N/F","134138","115120","121395"
"liquiritin apioside","339361","932490","450184","763148","1266906","1202058","18628","N/F","N/F","185314","403257","221930","N/F","N/F","N/F","134138","115120","121395"
"Genipin 1-O-beta-D-gentiobioside","296477","430978","372163","373390","467539","514817","N/F","N/F","N/F","215616","111510","161704","N/F","N/F","N/F","333640","245995","221009"
"Dehydroborapetoside B","32360827","94010319","38210151","86722459","53234214","96256802"," 6459624"," 6431950","  726612","25864324","29789491","14910847","   12088","   58002","   49034","17620293","16953968","18316601"
"Madecassic acid_HCOO"," 223714"," 399722"," 219856"," 446463"," 205236"," 306875"," 196276"," 635360"," 655376"," 162377","  71231"," 203872"," 663261","1206026"," 918624"," 452079"," 476928"," 502581"
"myricatin","14092750","15165265","13260333","15096821","12371621","14153265","14059579","11105738","10923742","15779434","15807566","14468017","16305047","12110964","10167792","11239550","13807904","11820369"
"Bilobetin","N/F","N/F","N/F","N/F","17830","N/F","N/F","216183","633588","N/F","N/F","109654","134835","594727","296976","155869","136378","149896"
"Ochnaflavone 4'-methyl ether","N/F","N/F","N/F","N/F","17830","N/F","N/F","216183","633588","N/F","N/F","109654","134835","594727","296976","155869","136378","149896"
"Podocarpusflavone A","N/F","N/F","N/F","N/F","17830","N/F","N/F","216183","633588","N/F","N/F","109654","134835","594727","296976","155869","136378","149896"
"Borapetoside B","412052","1150125","429582","1147733","734845","1649602","65066","39618","N/F","322021","330779","179578","N/F","N/F","N/F","219052","179941","213607"
"Lyoniside","412052","1150125","429582","1147733","734845","1649602","65066","39618","N/F","322021","330779","179578","N/F","N/F","N/F","219052","179941","213607"
"Nudiposide","412052","1150125","429582","1147733","734845","1649602","65066","39618","N/F","322021","330779","179578","N/F","N/F","N/F","219052","179941","213607"
"Tinospinoside C","412052","1150125","429582","1147733","734845","1649602","65066","39618","N/F","322021","330779","179578","N/F","N/F","N/F","219052","179941","213607"
"Euphorbia factor L1","994682","676678","956601","N/F","190926","43685","N/F","191946","1259584","4628182","3715026","5800035","193456","2244041","543283","74667","1212228","240063"
"Sikokianin C","1123467","190936","751393","N/F","130753","N/F","6331469","19384511","1490025","15461944","1263063","13529809","N/F","N/F","N/F","382453","175347","194972"
"Rehmannioside C_HCOO","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","14467","N/F","N/F","N/F","72463","9464","N/F","N/F"
"Scutebarbatine Y"," 83432","779714","116913"," 59996","352489","214479","297727","307960","559832","313632","375959","255515","298684","647326","292642"," 98908","130956","127406"
"Scutebarbatine B"," 83432","779714","116913"," 59996","352489","214479","297727","307960","559832","313632","375959","255515","298684","647326","292642"," 98908","130956","127406"
"Picroside II_HCOO","N/F","2133773","N/F","5573875","5380499","2370642","N/F","N/F","N/F","555545","2811372","N/F","N/F","N/F","N/F","3953247","2949567","2896146"
"Valeriotriate B","N/F","104911","N/F","262074","104554","216984","N/F","N/F","N/F","N/F","N/F","N/F","N/F","144485","67642","N/F","146873","63547"
"Glomeratose A","932978"," 71517","122991","963777"," 87893"," 81355","424016"," 86602"," 93094","715492"," 45721","137949","157549"," 51865"," 58336","171107","160377","149013"
"10-O-Caffeoyl-6-epiferetoside","2711574","2878967","2023605","4340222","4598840","4703162"," 240124"," 444709"," 278633","1187314","1185208"," 557584","  29725","  43102","  46622"," 375230"," 401265"," 384537"
"Mulberroside F","2711574","2878967","2023605","4340222","4598840","4703162"," 240124"," 444709"," 278633","1187314","1185208"," 557584","  29725","  43102","  46622"," 375230"," 401265"," 384537"
"Pyrroside B","2711574","2878967","2023605","4340222","4598840","4703162"," 240124"," 444709"," 278633","1187314","1185208"," 557584","  29725","  43102","  46622"," 375230"," 401265"," 384537"
"Fraxiresinol 1-O-glucoside"," 5206967"," 3167242"," 6020594"," 3774478"," 2266481"," 5096219"," 7760180"," 6161880"," 6521156"," 4985948"," 3119603"," 6898976"," 9226966"," 9211081","11026279"," 6849127"," 6587942"," 7106308"
"LPS(21:0)","18891031","18676223","21493791","30114785","16730804","29043598","23662333","30013750","48834826","16097827","15478222","22041946","26608488","37582597","41975828","16224324","16116531","17103087"
"6-O-Benzoylphlorigidoside B","1976622"," 685175","1222191","4091673","1295838","2418308"," 710393"," 207451"," 373457","2055326"," 698607"," 757971"," 888852"," 441173"," 476665"," 433990"," 464239"," 407747"
"Mulberroside A","1976622"," 685175","1222191","4091673","1295838","2418308"," 710393"," 207451"," 373457","2055326"," 698607"," 757971"," 888852"," 441173"," 476665"," 433990"," 464239"," 407747"
"LPC(17:0)+CH3COO"," 6674239"," 4060652"," 5857079","12224832"," 5186731","10231545"," 3613852"," 3370610"," 5523883"," 4776321"," 3738036"," 5595959"," 3168231"," 3809689"," 5400602"," 4531640"," 2698909"," 2790105"
"4',4'''-Di-O-methylisochamaejasmin","N/F","N/F","38211","N/F","N/F","N/F","930949","2627740","212468","169288","128296","390740","N/F","N/F","N/F","N/F","N/F","N/F"
"Chamaejasmenin B","N/F","N/F","38211","N/F","N/F","N/F","930949","2627740","212468","169288","128296","390740","N/F","N/F","N/F","N/F","N/F","N/F"
"LPI(16:0)"," 289129","4376337","4673574"," 343245","5972394","3936279"," 650356","3657997","5676062","5003920","5046746","4997971","7847114","2877147","4185483","4855541","6423876","6561155"
"Scutebarbatine W","222332","457664","190976","363387","352137","218611","N/F","N/F","N/F","129914","204566","20451","N/F","N/F","N/F","N/F","N/F","N/F"
"Shizukaol D","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","11244","N/F","12430","N/F","N/F","13298","9903","17776"
"Acanthoside B"," 922012"," 454951"," 509147"," 845532"," 382981"," 384360","1030261"," 587207"," 491876"," 699410"," 442468"," 446253"," 673887"," 427996"," 456564","1924671","1685600","1832807"
"Arctiin_HCOO"," 922012"," 454951"," 509147"," 845532"," 382981"," 384360","1030261"," 587207"," 491876"," 699410"," 442468"," 446253"," 673887"," 427996"," 456564","1924671","1685600","1832807"
"Episyringaresinol 4'-O-??-D-glncopyranoside"," 922012"," 454951"," 509147"," 845532"," 382981"," 384360","1030261"," 587207"," 491876"," 699410"," 442468"," 446253"," 673887"," 427996"," 456564","1924671","1685600","1832807"
"Forsythin_HCOO"," 922012"," 454951"," 509147"," 845532"," 382981"," 384360","1030261"," 587207"," 491876"," 699410"," 442468"," 446253"," 673887"," 427996"," 456564","1924671","1685600","1832807"
"Biliverdin","10757","39622","46816","27641","N/F","13109","16938","13637","N/F","17708","3690","10546","N/F","N/F","N/F","10634","N/F","N/F"
"Neomangiferin","932777","2528486","N/F","1082456","836390","N/F","1139538","1200609","1451954","923746","2607746","1360813","N/F","1772265","1550206","318696","N/F","327476"
"6''-O-apiosyl-5-O-Methylvisammioside","2695000","4805621","3087162","3594408","2857008","4298063","3017891","3872479","2846177","2671355","2987040","3095396","2239722","3353255","3661223","3175531","2740669","2986490"
"Bilirubin","31208","30095","259982","N/F","N/F","259139","N/F","644403","N/F","N/F","24473","135725","N/F","N/F","N/F","291117","188934","279975"
"1-Deacetylnimbolinin B","740148","1238953","484690","N/F","90263","N/F","N/F","N/F","N/F","247068","812111","133577","N/F","N/F","N/F","N/F","N/F","N/F"
"Ludaconitine","499378","257044","384330","606236","215721","489056","240994","110361","240038","377983","123766"," 84805","155086","213174","165844"," 17274"," 17972"," 66127"
"LPI(18:3)","12902099","17968021","11454681","14902860"," 6294795","12193213"," 7216079"," 7007744","10054901","14219052","10225738"," 8533247"," 5226485"," 5845915"," 7337865"," 8301630"," 8216789"," 8557001"
"Genipin 1-O-beta-D-gentiobioside_HCOO","  354735","  727612"," 3854321"," 1403478"," 1156403","17671705","  454705"," 1767348","  245088","  407501","   53823","  172196","   68965","  109019","  289280","  859635","  870344"," 1098299"
"LPI(18:2)","8076360","8262129","7817977","6269549","2769376","5899953","3384445","3218360","5890174","7489547","5721345","4823682","1803658","2621318","4537734","2325577","2186682","2182094"
"LPI(18:1)","62193","N/F","42191","42492","N/F","N/F","42465","50058","N/F","N/F","86091","112251","487832","77978","38416","N/F","1249411","117423"
"Regelidine","98831","N/F","N/F","18910","N/F","49020","2877987","415572","830406","151853","160402","86626","N/F","N/F","N/F","16358","45071","25876"
"6'-O-p-Hydroxybenzoylcatalposide","907086","1070753","924199","1119979","600385","2049864","119287","374659","49062","473831","203412","231826","N/F","N/F","N/F","279908","203656","246985"
"2-Deacetoxytaxinine B","N/F","N/F","N/F","N/F","N/F","N/F","489105","187314","456829","49879","108302","104690","1668005","289706","963621","577617","521442","426166"
"Taxinine","N/F","N/F","N/F","N/F","N/F","N/F","489105","187314","456829","49879","108302","104690","1668005","289706","963621","577617","521442","426166"
"LPC(20:2)+CH3COO","5874648","3324784","6090374","2598156","2574035","4182915"," 704623"," 756739"," 724870","3690093","2854291","3305604"," 553957"," 621994"," 541225","3939456"," 867530","1215980"
"Segetalin A","4615878","4093209","3820058","7608498","3521997","5513483","3935058","3451263","3951396","4101779","4150354","4688705","3278655","3834825","4258668","3545900","3845448","3744202"
"Safflomin A","675571","516590","620602","2595482","3613849","2271384","N/F","N/F","N/F","157539","460518","139185","N/F","16083","N/F","42856","48091","44098"
"CMP-N-Acetyl-neuraminic acid","343103","N/F","355622","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","260583","417217","436083"
"Cytidine monophosphate N-acetylneuraminic acid","343103","N/F","696715","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","260583","417217","436083"
"27-p-Coumaroyloxyursolic acid","N/F","N/F","48305","68927","60303","N/F","169017","191063","140900","38639","N/F","55802","639698","584802","221801","78301","453213","382466"
"3-O-Caffeoyloleanolic acid","N/F","N/F","48305","68927","60303","N/F","169017","191063","140900","38639","N/F","55802","639698","584802","221801","78301","453213","382466"
"Pyracrenic acid","N/F","N/F","48305","68927","60303","N/F","169017","191063","140900","38639","N/F","55802","639698","584802","221801","78301","453213","382466"
"Uncarinic acid E"," 314312.55"," 653606.54"," 193722.67"," 159001.66","  61089.21"," 361942.11"," 247830.30"," 249938.86","1401359.18"," 471584.79"," 452462.11"," 283266.11"," 243988.10","1418833.21"," 770270.65"," 106139.56"," 270247.07"," 375161.24"
"Zamanic acid"," 314312.55"," 653606.54"," 193722.67"," 159001.66","  61089.21"," 361942.11"," 247830.30"," 249938.86","1401359.18"," 471584.79"," 452462.11"," 283266.11"," 243988.10","1418833.21"," 770270.65"," 106139.56"," 270247.07"," 375161.24"
"LPI(20:4)","711494","759319","3007571","N/F","41842","54261","N/F","44061","N/F","298465","574748","96426","68528","29450","44705","N/F","N/F","40599"
"CiMigenol 3-beta-D-xylopyranoside","1291816","4657562","2327536","3578572","4201422","5978398","1473898","3632228","4106024","1789575"," 658491","1714159","3903353","7439057","5208023","2280149","2385713","2403535"
"Cimigenol-3-O-alpha-L-arabinoside","1291816","4657562","2327536","3578572","4201422","5978398","1473898","3632228","4106024","1789575"," 658491","1714159","3903353","7439057","5208023","2280149","2385713","2403535"
"Cimiracemoside C","1291816","4657562","2327536","3578572","4201422","5978398","1473898","3632228","4106024","1789575"," 658491","1714159","3903353","7439057","5208023","2280149","2385713","2403535"
"Ginsenoside Rk3","49329082","48590388","55027244","30981548","38596145","42978362","19915853","33144387","34971226","50923430","42393211","51753069","37633528","33995905","31183506","31018159","32097907","29720145"
"Ginsenoside Rh4","49329082","48590388","55027244","30981548","38596145","42978362","19915853","33144387","34971226","50923430","42393211","51753069","37633528","33995905","31183506","31018159","32097907","29720145"
"Taxuspine B","N/F","44940","56934","N/F","85608","92386","479683","139597","230246","N/F","23848","169069","26038","327724","345091","155708","9855","93382"
"LPI(20:3)","373637","N/F","2251068","N/F","N/F","N/F","N/F","121771","43190","51936","258733","100750","332652","196888","525922","111774","310815","416667"
"20(S)-Ginsenoside Ck","26504601","26043751","33313255","14142486","24725700","21218140","17563086","28142797","26266943","34909092","27916750","33927882","31071114","30679301","21061469","23126178","31763565","27349280"
"20(S)-Ginsenoside Rh2","26504601","26043751","33313255","14142486","24725700","21218140","17563086","28142797","26266943","34909092","27916750","33927882","31071114","30679301","21061469","23126178","31763565","27349280"
"Ginsenoside CK","26504601","26043751","33313255","14142486","24725700","21218140","17563086","28142797","26266943","34909092","27916750","33927882","31071114","30679301","21061469","23126178","31763565","27349280"
"Grossamide","6373582","272261","79286","601282","216844","352568","178404","2267136","28314","212530","74054","82886","N/F","174666","223697","575284","574393","598747"
"Cannabisin F","6373582","272261","79286","601282","216844","352568","178404","2267136","28314","212530","74054","82886","N/F","174666","223697","575284","574393","598747"
"LPI(20:2)","508878","442725","312909","N/F","N/F","50486","N/F","N/F","N/F","N/F","235784","126437","238953","67932","71493","420808","121579","849057"
"Baimaside","  925741"," 1660779","12744266"," 2532039"," 2047732","38303950","  617320"," 7331560","21309093"," 1378988","  247380"," 1218727"," 1567474"," 5448911"," 2703630"," 8183187"," 7421622"," 7923298"
"Quercetin 3-gentiobioside","  925741"," 1660779","12744266"," 2532039"," 2047732","38303950","  617320"," 7331560","21309093"," 1378988","  247380"," 1218727"," 1567474"," 5448911"," 2703630"," 8183187"," 7421622"," 7923298"
"Mulberrofuran K","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"Benzoylpaeoniflorin_HCOO","44575915","53972751","49516386","43084312","27651750","55271658","44690287","45182163","35318892","39035946","32036286","37803056","21742956","26460047","27024944","27211030","25074650","26602916"
"Mudanpioside J","44575915","53972751","49516386","43084312","27651750","55271658","44690287","45182163","35318892","39035946","32036286","37803056","21742956","26460047","27024944","27211030","25074650","26602916"
"Tereticornate A","151437","290559","110429","339769","866018","901475","1710680","N/F","234311","641601","202571","166181","2126575","135031","92293","210394","548132","311314"
"Persianone","N/F","N/F","N/F","N/F","N/F","880604","N/F","N/F","N/F","N/F","N/F","N/F","199759","N/F","50311369","69435","69492","2387173"
"3-O-Coumaroylarjunolic acid"," 443053","1820319"," 678335","  40790","  32056"," 123975"," 322180"," 413698","  23938"," 399047"," 317513"," 127723"," 626461"," 641860","  79246"," 273685","  47562"," 109768"
"3-O-Coumaroylasiatic acid","2286087.19","2332511.73"," 376822.05"," 220010.80","  65431.74"," 777106.23"," 402580.94"," 487425.98",NA,"2243853.89","1345211.08"," 687025.09"," 566709.70"," 116635.60"," 453471.91"," 837195.28"," 581281.87"," 244604.12"
"3-O-p-Coumaroyltormentic acid","2286087.19","2332511.73"," 376822.05"," 220010.80","  65431.74"," 777106.23"," 402580.94"," 487425.98",NA,"2243853.89","1345211.08"," 687025.09"," 566709.70"," 116635.60"," 453471.91"," 837195.28"," 581281.87"," 244604.12"
"Myriceric acid B","2286087.19","2332511.73"," 376822.05"," 220010.80","  65431.74"," 777106.23"," 402580.94"," 487425.98",NA,"2243853.89","1345211.08"," 687025.09"," 566709.70"," 116635.60"," 453471.91"," 837195.28"," 581281.87"," 244604.12"
"Ginsenoside Rh8"," 486383","2223797","1635400","3817935","1310730"," 851102"," 102846","1145916"," 359473"," 362626"," 374160"," 346698"," 157894","  36575"," 200695","2303534","2553081","2465036"
"Ginsenoside Rh7"," 486383","2223797","1635400","3817935","1310730"," 851102"," 102846","1145916"," 359473"," 362626"," 374160"," 346698"," 157894","  36575"," 200695","2303534","2553081","2465036"
"LPC(22:1)+CH3COO"," 144162"," 736854"," 546253","1309031"," 425687"," 242639","  28961"," 311959"," 126874","  85539"," 114758"," 124987","  20428","  23359","  30495","1032755"," 970063","1047708"
"Linarin_HCOO","52339","157470","58531","348012","491971","533490","N/F","N/F","N/F","10994","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"Ombuoside","52339","157470","58531","348012","491971","533490","N/F","N/F","N/F","10994","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"Leucosceptoside A"," 975816","1296640","1190492"," 889692"," 774695","1316687","1148713","1147840","1003131"," 898095"," 641284","1098913"," 731445","1008900"," 769200","1017308","1027994","1028584"
"Cistanoside C"," 975816","1296640","1190492"," 889692"," 774695","1316687","1148713","1147840","1003131"," 898095"," 641284","1098913"," 731445","1008900"," 769200","1017308","1027994","1028584"
"Ginsenoside F1","21496983","27338029","19554394","18616604","20448336","17711387"," 5842004"," 6873766"," 6255207","17723248","15494098","15655485"," 3719666"," 3200380"," 2623968","10568793"," 9560552"," 9115624"
"Isorhamnetin 3-O-gentiobioside","  286961","  588300"," 5274749","  675179","  349986","17326669","  291942"," 3354268","11444731","  487495","   31489","  389388","  778839"," 5038320"," 2767480"," 1196446"," 1078898"," 1172197"
"Complanatoside A","N/F","N/F","N/F","N/F","N/F","N/F","N/F","1475898","707120","N/F","N/F","16799","331025","1444820","592455","675842","601302","663562"
"Steviolbioside","1835286.91","1330474.27","2065388.86","  70465.09","  58735.95"," 134964.27",NA,NA,NA," 601210.10"," 210065.71"," 470073.87",NA,NA,NA,"  80150.52","  58558.19",NA
"Rubusoside","953671","699433","896628","42752","58682","82241","24566","N/F","N/F","311693","65845","154566","N/F","N/F","N/F","N/F","N/F","N/F"
"Jatamanvaltrate B","953671","699433","896628","42752","58682","82241","24566","N/F","N/F","311693","65845","154566","N/F","N/F","N/F","N/F","N/F","N/F"
"Acarbose","2089886","103874","2506745","73788","35007","N/F","N/F","24049","N/F","56124","215220","91772","N/F","N/F","N/F","N/F","N/F","N/F"
"Enniatin B1","88438","53481","438228","N/F","N/F","30059","64067","402010","218925","270182","120248","446624","149789","160012","127508","367476","428381","360695"
"Pseudoginsenoside RT5","325541","284483","511088","454691","252868","284281","N/F","589402","178210","139455","45314","237415","62040","83022","N/F","651514","593201","545425"
"Daurisoline_HCOO","1577238","53374","203865","1332054","575202","330672","727122","784685","163256","394544","535863","210247","63594","N/F","N/F","24060","20883","N/F"
"Monensin B","N/F","N/F","N/F","372394","248138","612155","N/F","23427","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"LPC(24:4)+CH3COO"," 1290567","  667883","  459385"," 1577179"," 2501682"," 1937704"," 5030715"," 4199106"," 5288512"," 3091111"," 1730587"," 2715357"," 5184721"," 4930495"," 5696167","11848508"," 7604782"," 8258157"
"taccalonolide B"," 898730"," 193372"," 667857","  17907"," 206510"," 264272","2027482","1741269","1052333","1491119","1038826","2037019"," 298248"," 322319"," 294341"," 584390"," 551185"," 742492"
"gypsogenin-3-O-glucuronide","N/F","62446","N/F","N/F","N/F","N/F","27641","134460","168193","29584","N/F","N/F","152272","389263","169310","62622","95941","123936"
"Bisandrographolide A","2348609","202344","143003","786340","84692","687769","221077","1200230","77072","3269246","8157056","1729968","593611","55569","188083","3677897","716791","N/F"
"Bisandrographolide C","1517852.77","1223037.10","2052324.26","1195606.22"," 891384.90","1623637.48"," 575460.19"," 530473.89","  77130.90"," 535992.53","8566139.23","2100776.19"," 638072.48","  71694.15"," 122976.11"," 101249.04","1266343.07","3470763.84"
"2'-Acetylacteoside","N/F","N/F","N/F","1513494","1308654","647961","2722280","1476593","1038808","N/F","1975893","790092","665433","1986000","2551729","639593","1277032","1038845"
"Glycogen","2772834","2459365","870177","3368527","3752772","2848033","45970","10435","9543","293458","360186","270011","N/F","N/F","N/F","N/F","N/F","N/F"
"Maltotetraose,Dp4"," 884301.99"," 645176.57","1061615.23","1139719.71","4801865.45"," 660141.03","2396103.19",NA,"1053042.97","1132166.76","1890327.25"," 800922.58",NA,NA,NA,"  71136.14"," 876875.83","1046363.08"
"Nystose"," 884301.99"," 645176.57","1061615.23","1139719.71","4801865.45"," 660141.03","2396103.19",NA,"1053042.97","1132166.76","1890327.25"," 800922.58",NA,NA,NA,"  71136.14"," 876875.83","1046363.08"
"Stachyose"," 884301.99"," 645176.57","1061615.23","1139719.71","4801865.45"," 660141.03","2396103.19",NA,"1053042.97","1132166.76","1890327.25"," 800922.58",NA,NA,NA,"  71136.14"," 876875.83","1046363.08"
"3,29-Dibenzoyl rarounitriol","3537100","1520151","2035310","1033489"," 542192"," 511077"," 556210"," 613910"," 597464"," 912221","3119405","1128150","1311603","1341516","3545491","1149354"," 781748"," 899724"
"Hemiphroside A","998469","1010894","597308","926169","703483","891442","485746","147373","50408","897758","463079","341501","26355","N/F","11508","427876","456261","377221"
"Taxayunnansin A","N/F","10845","13887","N/F","12241","27548","N/F","8024","10870","13432","N/F","7905","11743","N/F","N/F","N/F","N/F","47024"
"7-Xylosyl-10-deacetylbaccatin III","5214998","3474742","4037800","4898237","3892761","2905220","5457232","3614128","3132164","5482775","3300837","5556387","1297705"," 821614","1248714","3821284","4468507","4443061"
"Taccalonolide AJ","5214998","3474742","4037800","4898237","3892761","2905220","5457232","3614128","3132164","5482775","3300837","5556387","1297705"," 821614","1248714","3821284","4468507","4443061"
"3,4,5-Tricaffeoylquinic acid","165742638","126282476","149462678","204850916","290506872","485900153"," 17376875"," 21753549"," 11391448"," 80630857"," 65175629"," 71125023","   196192","    92057","   125061"," 32609216"," 26732922"," 28538830"
"1,3,5-Tricaffeoylquinic acid","165742638","126282476","149462678","204850916","290506872","485900153"," 17376875"," 21753549"," 11391448"," 80630857"," 65175629"," 71125023","   196192","    92057","   125061"," 32609216"," 26732922"," 28538830"
"5-Acetyltaxachitriene A","102605312"," 75130398","102103302","115906155"," 81474669"," 77486826"," 42967165"," 38550326"," 29572401"," 96053995"," 98190542"," 92958498","  7353017","  6299173","  7075204"," 23609692"," 21063515"," 21598670"
"Viniferol D","N/F","N/F","N/F","N/F","N/F","24189","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F"
"Ecliptasaponin A_HCOO","191291","148921","843218","54281","114946","158094","28515","N/F","N/F","801922","258336","245935","82192","25066","N/F","35252","28402","23942"
"Hemiphroside B","15182","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","12040","N/F"
"Tenuifoliside A","15182","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","N/F","12040","N/F"
"Clemastanin B"," 665929"," 520274"," 678432"," 482733"," 243900"," 446936"," 936548"," 893370"," 820347"," 898552"," 454649"," 630141","1001015","1167310","1082980"," 481206"," 409061"," 483640"
"Yadanzioside A"," 665929"," 520274"," 678432"," 482733"," 243900"," 446936"," 936548"," 893370"," 820347"," 898552"," 454649"," 630141","1001015","1167310","1082980"," 481206"," 409061"," 483640"
"(20R)-Ginsenoside Rh1_HCOO","2074606","1015164","1285095"," 184703"," 136784"," 349099","  43628"," 104409","  52865"," 353169","1117572"," 367574","  45429","  40987"," 113058"," 961095","  44487"," 173094"
"Ginsenoside F1_HCOO","2074606","1015164","1285095"," 184703"," 136784"," 349099","  43628"," 104409","  52865"," 353169","1117572"," 367574","  45429","  40987"," 113058"," 961095","  44487"," 173094"
"Nuezhenide","N/F","N/F","N/F","4538734","3548335","3851825","3619225","2417074","3471384","1237628","2915908","1477772","2565209","2705903","3023580","2232933","2494740","1914375"
"Specnuezhenide","N/F","N/F","N/F","4538734","3548335","3851825","3619225","2417074","3471384","1237628","2915908","1477772","2565209","2705903","3023580","2232933","2494740","1914375"
"PA(17:0_18:2)"," 225953385"," 186587769","  54324169"," 363248842"," 905028115"," 369290588"," 195176466"," 103371870"," 326175125"," 102232530"," 333978353"," 201689794"," 258576054"," 503409823"," 315082400"," 131519354"," 625057112","1025436755"
"Steviolbioside_HCOO"," 2554466","  835993"," 1062911"," 4505854"," 3701488"," 4729430","11289394"," 3776201"," 6416920"," 2966420"," 2757091"," 3121767","10345455"," 5082967"," 5221237"," 6986846"," 6427425"," 6679707"
"Rubusoside_HCOO"," 2554466","  835993"," 1062911"," 4505854"," 3701488"," 4729430","11289394"," 3776201"," 6416920"," 2966420"," 2757091"," 3121767","10345455"," 5082967"," 5221237"," 6986846"," 6427425"," 6679707"
"PA(17:0_18:1)","  6374760"," 26764734"," 30955440"," 91432733","126557471"," 48885330"," 17204153"," 51091467"," 10037770","114596028"," 36452227"," 55227188"," 43489929","101977989"," 48311057"," 48865311"," 47187637","134334958"
"PA(18:1_18:1)","8394111","2772576","2966019","893060","7270020","4082947","7030317","3995752","1895871","848913","N/F","2364965","927917","1610252","2752693","10765983","6979690","1717584"
"Conodurine","472818","498615","1132533","121013","36782","112367","N/F","N/F","N/F","470986","194960","349344","N/F","32419","N/F","N/F","34966","N/F"
"Voacamine"," 472269.96"," 496220.06","1202462.55"," 120557.77","  98859.69"," 112565.94"," 170148.39","  68439.36"," 117360.71"," 470166.07"," 264122.58"," 388251.65"," 295681.23"," 225880.73"," 227315.13"," 128379.54","  56962.79"," 174203.13"
"glucoliguiritin apioside","11760603"," 3328461"," 4143862"," 8840302"," 3550247"," 7627329"," 5956635"," 2697671"," 3164681"," 5996831"," 2441832"," 5047462"," 4939978"," 3333309"," 4287056","  629941","  540613","  533055"
"Nystose _HCOO","11760603"," 3328461"," 4143862"," 8840302"," 3550247"," 7627329"," 5956635"," 2697671"," 3164681"," 5996831"," 2441832"," 5047462"," 4939978"," 3333309"," 4287056","  629941","  540613","  533055"
